batch	local_file	r2_key	kind	service	status
gcp-001	public/gcp/compute/gcp-compute-engine.webp	gcp-el10-images/compute/gcp-compute-engine.webp	el10	Compute Engine	REJECTED_STYLE
gcp-001	public/gcp/app-hosting/gcp-cloud-run.webp	gcp-el10-images/app-hosting/gcp-cloud-run.webp	el10	Cloud Run	REJECTED_STYLE
gcp-001	public/gcp/storage/gcp-cloud-storage.webp	gcp-el10-images/storage/gcp-cloud-storage.webp	el10	Cloud Storage	REJECTED_STYLE
gcp-001	public/gcp/app-hosting/gcp-google-kubernetes-engine.webp	gcp-el10-images/app-hosting/gcp-google-kubernetes-engine.webp	el10	Google Kubernetes Engine	REJECTED_STYLE
